algorithm,dataset,threshold,step_size,n_starting_vectors,significance,outliers,consider_duplicates
dipNSub,2d10c,0.75,0.1,2.0,0.01,False,True
dipNSub,2d20c,1.0,0.1,1.0,0.2,False,True
dipNSub,2d4c,0.5,0.1,1.0,0.2,True,True
dipNSub,3spiral,0.75,0.01,1.0,0.2,False,False
dipNSub,aggregation,1.0,0.1,1.0,0.1,True,True
dipNSub,compound,0.75,0.1,1.0,0.01,False,True
dipNSub,D1,0.75,0.1,1.0,0.01,False,True
dipNSub,D2,0.01,0.1,2.0,0.02,False,True
dipNSub,D3,0.01,0.1,1.0,0.01,False,True
dipNSub,D4,0.75,0.1,1.0,0.2,False,True
dipNSub,D5,0.75,0.01,1.0,0.2,True,True
dipNSub,ecoli,0.5,0.1,1.0,0.1,False,True
dipNSub,elly2d10c13s,0.01,0.1,2.0,0.1,False,True
dipNSub,glass,0.01,0.1,1.0,0.01,False,True
dipNSub,ionosphere,1.0,0.01,1.0,0.05,True,True
dipNSub,s1,1.0,0.1,1.0,0.05,True,True
dipNSub,s2,1.0,0.1,1.0,0.2,False,True
dipNSub,sonar,1.0,0.01,1.0,0.05,True,True
dipNSub,statlog,0.15,0.1,2.0,0.01,False,True
dipNSub,unbalance,0.1,0.1,1.0,0.01,False,True
dipNSub,wdbc,0.01,,,0.1,False,True
dipNSub,wine,0.01,0.1,1.0,0.02,False,True
dipNSub,yeast,0.01,0.1,1.0,0.01,False,True
