n_clusters,embedding_size,pretrain_epochs,clustering_epochs,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
8,2,100,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
8,2,100,200,0.6944048568741183,0.8081127938233248,0.9538461538461539,0.5525864668206697,22436.89112792735,0.6959964298988923,0.5896238826750452
8,2,200,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
8,2,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
8,5,100,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
8,5,100,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
8,5,200,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
8,5,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
8,10,100,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
8,10,100,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
8,10,200,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
8,10,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
