n_clusters,threshold,branching_factor,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
4,0.01,30,0.34999875347182985,0.6409560971560887,0.697566628041715,0.4667025061161154,0.995954571239453,0.6046855700589413
4,0.01,50,0.3427190430687578,0.636656289749106,0.6836616454229433,0.4692090819146726,0.994987624417801,0.6092174395102464
4,0.01,70,0.4534436885881459,0.6878664035558011,0.7925840092699884,0.46469527689847623,1.0,0.5839562647241984
4,0.05,30,0.35537949536195523,0.6315330336460186,0.6593279258400927,0.43737242423792505,0.946209933123641,0.6365191451101975
4,0.05,50,0.35537949536195523,0.6315330336460186,0.6593279258400927,0.43737242423792505,0.946209933123641,0.6365191451101975
4,0.05,70,0.35537949536195523,0.6315330336460186,0.6593279258400927,0.43737242423792505,0.946209933123641,0.6365191451101975
4,0.1,30,0.3378451435635989,0.6257347363962947,0.6593279258400927,0.45031893927842725,0.9679968979045669,0.6267577779307841
4,0.1,50,0.3378451435635989,0.6257347363962947,0.6593279258400927,0.45031893927842725,0.9679968979045669,0.6267577779307841
4,0.1,70,0.3378451435635989,0.6257347363962947,0.6593279258400927,0.45031893927842725,0.9679968979045669,0.6267577779307841
4,0.3,30,,,,,,
4,0.3,50,,,,,,
4,0.3,70,,,,,,
4,0.5,30,,,,,,
4,0.5,50,,,,,,
4,0.5,70,,,,,,
4,0.7,30,,,,,,
4,0.7,50,,,,,,
4,0.7,70,,,,,,
