n_clusters,threshold,branching_factor,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,0.1,30,0.4979769106891259,0.5157720529094728,0.853,0.4428614396059337,0.9583872822249065,0.0
2,0.1,50,0.4979769106891259,0.5157720529094728,0.853,0.4428614396059337,0.9583872822249065,0.0
2,0.1,70,0.4979769106891259,0.5157720529094728,0.853,0.4428614396059337,0.9583872822249065,0.0
2,0.3,30,0.5036031082019915,0.4023867337732899,0.855,0.5015767062849928,1.0,0.048657975430108635
2,0.3,50,0.5036031082019915,0.4023867337732899,0.855,0.5015767062849928,1.0,0.048657975430108635
2,0.3,70,0.5036031082019915,0.4023867337732899,0.855,0.5015767062849928,1.0,0.048657975430108635
2,0.5,30,,,,,,
2,0.5,50,,,,,,
2,0.5,70,,,,,,
2,0.7,30,,,,,,
2,0.7,50,,,,,,
2,0.7,70,,,,,,
