max_n_leaf_nodes,embedding_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
1,2,0.47260109438651576,0.557043445061353,0.6265664160401002,0.5030900697182767,436.6909408909721,0.818571900038617,0.5498820255491494
1,5,0.4366167363868062,0.5853177427321659,0.6265664160401002,0.48880520017973755,381.7561003710665,0.7861507600555453,0.5598631550949833
1,10,0.4366167363868062,0.5853177427321659,0.6265664160401002,0.48880520017973755,381.7561003710665,0.7861507600555453,0.5598631550949833
2,2,0.4366167363868062,0.5853177427321659,0.6265664160401002,0.48880520017973755,381.7561003710665,0.7861507600555453,0.5598631550949833
2,5,0.4366167363868062,0.5853177427321659,0.6265664160401002,0.48880520017973755,381.7561003710665,0.7861507600555453,0.5598631550949833
2,10,0.4771032258333292,0.5722151601770848,0.6265664160401002,0.5034529506808506,436.34673214128054,0.8066731075419894,0.5535035617818641
3,2,0.7351167381966639,0.7856144043595819,0.7393483709273183,0.6026843927993234,758.9856143624158,0.5581070549134178,0.6418044234165724
3,5,0.7223061677695213,0.7713543154704224,0.7393483709273183,0.6052217886741792,774.8796884147274,0.5466540313216521,0.6465570061233905
3,10,0.7313941895738867,0.7700072144395529,0.7393483709273183,0.6002601162637246,751.3135143077894,0.5708204371271097,0.6366100009679723
4,2,0.759422633231486,0.7925339143601735,0.7794486215538847,0.5686732201933274,664.6965948042589,0.6114769176682973,0.6205487581211745
4,5,0.749148352961527,0.7805045212542535,0.7694235588972431,0.5706997090106927,640.5903728962105,0.5773918925261873,0.6339578672478808
4,10,0.7575876055784163,0.791619146598677,0.7769423558897243,0.5699602782204252,659.2896663325981,0.6009643376150219,0.6246235325202267
5,2,0.7412070746445453,0.7875396368909798,0.7468671679197995,0.443466041828812,399.6129049187466,0.6082127328875214,0.6218082841593446
5,5,0.5450498625160083,0.7112053423891849,0.7543859649122807,0.41909723977487606,482.51137253562405,1.3708953181102692,0.42178159126698755
5,10,0.46269402531550097,0.6686205958832238,0.7393483709273183,0.44174186667410603,510.5622477102738,0.8221952556901904,0.5487886091664921
10,2,0.5767368065871334,0.7054940146021068,0.8220551378446115,0.2732424290757784,302.632518685754,1.0252448470362785,0.4937674580253293
10,5,0.6153993748523303,0.7325703142840636,0.8972431077694235,0.29313261737899404,364.75559019438026,0.9666494946308273,0.508479016077909
10,10,0.5092480065319615,0.6963053210130067,0.8621553884711779,0.35806313070801626,391.73953945041757,0.8596689422902155,0.537730118119025
