min_cluster_size,metric,leaf_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,euclidean,25,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
5,euclidean,40,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
5,euclidean,70,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
5,euclidean,100,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
5,manhattan,25,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
5,manhattan,40,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
5,manhattan,70,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
5,manhattan,100,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
10,euclidean,25,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
10,euclidean,40,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
10,euclidean,70,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
10,euclidean,100,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
10,manhattan,25,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
10,manhattan,40,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
10,manhattan,70,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
10,manhattan,100,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
15,euclidean,25,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
15,euclidean,40,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
15,euclidean,70,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
15,euclidean,100,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
15,manhattan,25,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
15,manhattan,40,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
15,manhattan,70,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
15,manhattan,100,1.0,1.0,1.0,0.3935615044391553,1.0,0.0
