n_clusters,init,max_iter,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,k-means++,300,0.5705711831835333,0.7332037453413733,0.667,0.6045682855233661,0.9275132759656427,0.4707990086113921
2,k-means++,500,0.5705711831835333,0.7332037453413733,0.667,0.6045682855233661,0.9275132759656427,0.4707990086113921
2,random,300,0.5705711831835333,0.7332037453413733,0.667,0.6045682855233661,0.9275132759656427,0.4707990086113921
2,random,500,0.5705711831835333,0.7332037453413733,0.667,0.6045682855233661,0.9275132759656427,0.4707990086113921
3,k-means++,300,0.9800530786478688,0.965964004816674,0.9933,0.6457761124554792,0.999998553895797,0.5285765647784428
3,k-means++,500,0.9800530786478688,0.965964004816674,0.9933,0.6457761124554793,0.999998553895797,0.5285765647784428
3,random,300,0.9821173784975066,0.9690841238806025,0.994,0.6458014296678243,1.0,0.5284821138777434
3,random,500,0.9821173784975066,0.9690841238806025,0.994,0.6458014296678243,1.0,0.5284821138777434
4,k-means++,300,0.8417442263675868,0.863580101002554,0.9879000000000001,0.5160216400726918,0.9675853377830004,0.19320899387481394
4,k-means++,500,0.8450559123114859,0.8659332992577466,0.9891,0.5165574133231656,0.9665745081243252,0.18805756371837978
4,random,300,0.8422451821873749,0.8643412748293802,0.9876000000000001,0.5220200632508655,0.9690663198081874,0.21908607974327987
4,random,500,0.8414875471908942,0.8639561771083114,0.9875,0.5222425449040713,0.9688302237336343,0.216428910194146
5,k-means++,300,0.7127607182290794,0.7897421677012344,0.9870000000000001,0.42188563243733485,0.9486552270069334,0.014205514137772046
5,k-means++,500,0.7212677535857064,0.7928822620577884,0.9873999999999998,0.422599092591882,0.9476426598943178,0.041129020747768585
5,random,300,0.7000589814538992,0.7895112707156792,0.9874,0.4061478928961436,0.9517986745904237,0.0
5,random,500,0.7020636691949084,0.7909803950237543,0.9879,0.412593658247717,0.9517079491670055,0.006212706038305482
