significance,similarity_matrix,n_neighbors,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.001,NAM,3,0.0853249730341368,0.3038365536120547,0.3040057224606581,0.3176237366337958,0.9981571756913195,0.5591367724678509
0.001,NAM,5,,,,,,
0.001,NAM,10,,,,,,
0.001,NAM,15,,,,,,
0.001,NAM,20,,,,,,
0.001,SAM,3,,,,,,
0.001,SAM,5,,,,,,
0.001,SAM,10,,,,,,
0.001,SAM,15,,,,,,
0.001,SAM,20,,,,,,
0.005,NAM,3,0.10935088460676631,0.23603666771440568,0.3043633762517883,0.026159910822424443,0.3847741071513322,0.09221517301282219
0.005,NAM,5,,,,,,
0.005,NAM,10,,,,,,
0.005,NAM,15,,,,,,
0.005,NAM,20,,,,,,
0.005,SAM,3,,,,,,
0.005,SAM,5,,,,,,
0.005,SAM,10,,,,,,
0.005,SAM,15,,,,,,
0.005,SAM,20,,,,,,
0.01,NAM,3,0.0853249730341368,0.3038365536120547,0.3040057224606581,0.3176237366337958,0.9981571756913195,0.5591367724678509
0.01,NAM,5,,,,,,
0.01,NAM,10,,,,,,
0.01,NAM,15,,,,,,
0.01,NAM,20,,,,,,
0.01,SAM,3,,,,,,
0.01,SAM,5,,,,,,
0.01,SAM,10,,,,,,
0.01,SAM,15,,,,,,
0.01,SAM,20,,,,,,
0.05,NAM,3,0.10935088460676631,0.23603666771440573,0.3043633762517883,0.026159910822424443,0.3847741071513322,0.09221517301282219
0.05,NAM,5,,,,,,
0.05,NAM,10,,,,,,
0.05,NAM,15,,,,,,
0.05,NAM,20,,,,,,
0.05,SAM,3,,,,,,
0.05,SAM,5,,,,,,
0.05,SAM,10,,,,,,
0.05,SAM,15,,,,,,
0.05,SAM,20,,,,,,
0.1,NAM,3,0.22338919958163164,0.42862576504141964,0.42131616595135907,0.11894128714751293,0.9029780202763824,0.18310533669988718
0.1,NAM,5,0.15269508026591788,0.26329515136539394,0.3043633762517883,0.16743910065533915,0.7071201853226357,0.19998400856840826
0.1,NAM,10,,,,,,
0.1,NAM,15,,,,,,
0.1,NAM,20,,,,,,
0.1,SAM,3,0.16169521082060043,0.32289710789133796,0.30042918454935624,0.21336087120021552,0.9798591273051609,0.3936710977738933
0.1,SAM,5,,,,,,
0.1,SAM,10,,,,,,
0.1,SAM,15,,,,,,
0.1,SAM,20,,,,,,
0.5,NAM,3,0.2233944022795117,0.4292363225600397,0.42131616595135907,0.11763392203342482,0.9027923034852351,0.1815827314302677
0.5,NAM,5,0.08667250425738891,0.303949599110301,0.30472103004291845,0.31848293346716106,1.0,0.558083241898668
0.5,NAM,10,0.14517986467991756,0.25430896675593184,0.3043633762517883,0.15040573183716321,0.6731231774711761,0.18531848028138712
0.5,NAM,15,,,,,,
0.5,NAM,20,,,,,,
0.5,SAM,3,0.2786436169433825,0.4705426628239677,0.5368383404864091,0.12463979480213053,0.9832216051135876,0.28908264213647883
0.5,SAM,5,,,,,,
0.5,SAM,10,,,,,,
0.5,SAM,15,,,,,,
0.5,SAM,20,,,,,,
