threshold1,threshold2,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.001,0.001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.001,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.001,0.01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.001,0.05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.001,0.075,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.001,0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.001,0.15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.001,0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.001,0.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.001,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.001,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.001,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.005,0.001,4.6675347673180186e-05,0.0011078167996444771,1.0,0.0039247617412797135,18013.034443395358,0.01030079058171063,0.9898042338700144
0.005,0.005,4.6675347673180186e-05,0.0011078167996444771,1.0,0.0039247617412797135,18013.034443395358,0.01030079058171063,0.9898042338700144
0.005,0.01,4.6675347673180186e-05,0.0011078167996444771,1.0,0.0039247617412797135,18013.03444339535,0.01030079058171063,0.9898042338700144
0.005,0.05,4.6675347673180186e-05,0.0011078167996444771,1.0,0.0039247617412797135,18013.03444339535,0.01030079058171063,0.9898042338700144
0.005,0.075,4.6675347673180186e-05,0.0011078167996444771,1.0,0.0039247617412797135,18013.034443395347,0.01030079058171063,0.9898042338700144
0.005,0.1,4.6675347673180186e-05,0.0011078167996444771,1.0,0.0039247617412797135,18013.034443395354,0.01030079058171063,0.9898042338700144
0.005,0.15,4.6675347673180186e-05,0.0011078167996444771,1.0,0.0039247617412797135,18013.03444339535,0.01030079058171063,0.9898042338700144
0.005,0.2,4.6675347673180186e-05,0.0011078167996444771,1.0,0.0039247617412797135,18013.034443395354,0.010300790581710628,0.9898042338700144
0.005,0.3,4.6675347673180186e-05,0.0011078167996444771,1.0,0.0039247617412797135,18013.034443395358,0.01030079058171063,0.9898042338700144
0.005,0.5,4.6675347673180186e-05,0.0011078167996444771,1.0,0.0039247617412797135,18013.034443395358,0.01030079058171063,0.9898042338700144
0.005,0.75,4.6675347673180186e-05,0.0011078167996444771,1.0,0.0039247617412797135,18013.034443395358,0.01030079058171063,0.9898042338700144
0.005,1.0,4.6675347673180186e-05,0.0011078167996444771,1.0,0.0039247617412797135,18013.034443395354,0.01030079058171063,0.9898042338700144
0.01,0.001,0.0006299842055541128,0.014880968753243953,1.0,0.04058122015769928,5514.109707937281,0.0731149350761708,0.9318666317219962
0.01,0.005,0.0006299842055541128,0.014880968753243953,1.0,0.04058122015769928,5514.109707937281,0.0731149350761708,0.9318666317219962
0.01,0.01,0.0006299842055541128,0.014880968753243953,1.0,0.04058122015769928,5514.109707937281,0.0731149350761708,0.9318666317219962
0.01,0.05,0.0006299842055541128,0.01488096875324378,1.0,0.04058122015769928,5514.109707937277,0.07311493507617078,0.9318666317219962
0.01,0.075,0.0006299842055541128,0.014880968753243953,1.0,0.04058122015769928,5514.109707937278,0.0731149350761708,0.9318666317219962
0.01,0.1,0.0006299842055541128,0.014880968753244048,1.0,0.04058122015769928,5514.1097079372785,0.0731149350761708,0.9318666317219962
0.01,0.15,0.0006299842055541128,0.014880968753243953,1.0,0.04058122015769928,5514.1097079372785,0.0731149350761708,0.9318666317219962
0.01,0.2,0.0006299842055541128,0.014880968753243864,1.0,0.04058122015769928,5514.1097079372785,0.0731149350761708,0.9318666317219962
0.01,0.3,0.0006299842055541128,0.014880968753243864,1.0,0.04058122015769928,5514.109707937281,0.0731149350761708,0.9318666317219962
0.01,0.5,0.0006299842055541128,0.014880968753243864,1.0,0.04058122015769928,5514.109707937281,0.0731149350761708,0.9318666317219962
0.01,0.75,0.0006299842055541128,0.014880968753243953,1.0,0.04058122015769928,5514.109707937281,0.0731149350761708,0.9318666317219962
0.01,1.0,0.0006299842055541128,0.014880968753243953,1.0,0.04058122015769928,5514.109707937281,0.0731149350761708,0.9318666317219962
0.02,0.001,0.006379869730398922,0.13212372328122068,1.0,0.17039989389336554,1785.7735926700059,0.3934329317295942,0.7176520500048418
0.02,0.005,0.006379869730398922,0.13212372328122068,1.0,0.17039989389336554,1785.7735926700059,0.3934329317295942,0.7176520500048418
0.02,0.01,0.006379869730398922,0.13212372328122068,1.0,0.17039989389336554,1785.7735926700059,0.3934329317295942,0.7176520500048418
0.02,0.05,0.006774730805344883,0.13595294783578749,1.0,0.16562095987688388,1673.8725185286442,0.39524937373804003,0.7167177558524039
0.02,0.075,0.006565700794709918,0.13378792256863142,1.0,0.16672410568320795,1718.611457464959,0.3953795446194936,0.716650895346678
0.02,0.1,0.006403099983276037,0.1321886992514685,1.0,0.16776882998900014,1765.8971449610356,0.3969245108146383,0.7158582960340744
0.02,0.15,0.006379869730398922,0.13212372328122055,1.0,0.16778835184045754,1765.7540618351313,0.39769933551547243,0.7154614548279793
0.02,0.2,0.006356639086109775,0.13199157578289128,1.0,0.16493329708112006,1740.430046745124,0.4007229999254345,0.7139170271732767
0.02,0.3,0.006379869730398922,0.13212372328122085,1.0,0.16706469634828142,1762.7157254654937,0.39785265850947044,0.7153829796813489
0.02,0.5,0.006379869730398922,0.13212372328122046,1.0,0.16772822281152433,1763.2751025460577,0.3980354159464254,0.7152894616214224
0.02,0.75,0.006379869730398922,0.13212372328122057,1.0,0.1667340230519085,1761.6645333737827,0.3980872424036855,0.7152629461668879
0.02,1.0,0.006379869730398922,0.13212372328122068,1.0,0.1667340230519085,1761.6645333737822,0.3980872424036855,0.7152629461668879
0.03,0.001,0.016718371851423892,0.2614566864424584,0.998730964467005,0.20300706619968142,1316.0607214172485,0.6942117172196379,0.5902450029333375
0.03,0.005,0.016718371851423892,0.2614566864424584,0.998730964467005,0.20300706619968142,1316.0607214172485,0.6942117172196379,0.5902450029333375
0.03,0.01,0.016718371851423892,0.2614566864424584,0.998730964467005,0.20300706619968142,1316.0607214172485,0.6942117172196379,0.5902450029333375
0.03,0.05,0.02361130699531583,0.29393596412707507,0.998730964467005,0.11074237985692106,1096.5035458437003,0.6547897388754351,0.6043063819573729
0.03,0.075,0.019557944412507584,0.2732492832715647,1.0,0.1319412498438157,1147.9730291803464,0.6934371273132772,0.5905149850981183
0.03,0.1,0.018791875514198378,0.27163540779915957,0.998730964467005,0.16847386439956483,1219.5408633156276,0.6981258149035142,0.5888845168146856
0.03,0.15,0.01733419688221212,0.2643349578258348,0.998730964467005,0.1754621166663932,1272.4889559781143,0.6961511375176336,0.5895701024989607
0.03,0.2,0.016896257852096416,0.2605133769522131,0.998730964467005,0.1696113792797718,1258.7143318288838,0.6971297884382672,0.5892301265421898
0.03,0.3,0.017709436468804803,0.2671827849164522,0.998730964467005,0.18957305552831993,1298.2811390768256,0.6974356715863433,0.5891239454544084
0.03,0.5,0.0173407517858026,0.26507748830600214,0.998730964467005,0.19063015101260006,1312.706045007783,0.6880898949309804,0.5923855139485248
0.03,0.75,0.017571191312787962,0.2665486426760492,0.998730964467005,0.1879170480889132,1305.3837205951147,0.6930915935532633,0.5906355000566251
0.03,1.0,0.017386842784925454,0.2656010393273927,0.998730964467005,0.18920083771443366,1309.5034480757993,0.6928548099552461,0.5907181136381312
0.05,0.001,0.04962434142530752,0.4192792836312461,0.9961928934010152,0.211430664250524,1146.827027681997,0.8772389269777666,0.5326972425454309
0.05,0.005,0.04962434142530752,0.4192792836312461,0.9961928934010152,0.211430664250524,1146.827027681997,0.8772389269777666,0.5326972425454309
0.05,0.01,0.04962434142530752,0.4192792836312461,0.9961928934010152,0.211430664250524,1146.827027681997,0.8772389269777666,0.5326972425454309
0.05,0.05,0.04962434142530752,0.4192792836312461,0.9961928934010152,0.211430664250524,1146.827027681997,0.8772389269777666,0.5326972425454309
0.05,0.075,0.08771687642661272,0.4720551866381746,0.998730964467005,0.0767683964395362,718.4892166984616,0.9765494734171245,0.5059321881132409
0.05,0.1,0.09642043470623031,0.46492795287882094,0.9961928934010152,0.03574295348211019,573.559813420416,0.8954607072466565,0.5275762225916034
0.05,0.15,0.19188686142468678,0.4926567944217523,0.9568527918781726,-0.05922878286061806,174.20612098448035,0.9987933615755462,0.500301841713018
0.05,0.2,0.3185181595751894,0.5241914396140781,0.9555837563451777,-0.1595584099661684,95.92093488618293,1.1730572092626539,0.46018116584206853
0.05,0.3,0.45363585037847387,0.5581806832436506,0.9593908629441624,-0.18683130510712276,86.40078294462432,1.0595574965956633,0.4855411910825242
0.05,0.5,0.46440189664268827,0.5874484044466773,0.9961928934010152,-0.1511631345095573,137.73243568292082,1.1187023713417676,0.47198701126043624
0.05,0.75,0.2481134700256395,0.4909294812586479,0.9961928934010152,0.04957318809799473,207.78148879323342,0.8721485575930956,0.5341456456242113
0.05,1.0,0.18450080862149906,0.4714437906721568,0.9961928934010152,0.07571148187861768,206.8484643825143,0.943570311116507,0.5145170176146281
0.075,0.001,0.2739593480624874,0.6017387170377355,0.9555837563451777,0.14108727523014672,366.12254557464223,0.9950632985458135,0.5012372292793379
0.075,0.005,0.2739593480624874,0.6017387170377355,0.9555837563451777,0.14108727523014672,366.12254557464223,0.9950632985458135,0.5012372292793379
0.075,0.01,0.2739593480624874,0.6017387170377355,0.9555837563451777,0.14108727523014672,366.12254557464223,0.9950632985458135,0.5012372292793379
0.075,0.05,0.2739593480624874,0.6017387170377355,0.9555837563451777,0.14108727523014672,366.12254557464223,0.9950632985458135,0.5012372292793379
0.075,0.075,0.2739593480624874,0.6017387170377355,0.9555837563451777,0.14108727523014672,366.12254557464223,0.9950632985458135,0.5012372292793379
0.075,0.1,0.4419610456882737,0.6979422221357169,0.9568527918781726,-0.05744844449010104,319.30159099059625,1.0306786986013408,0.4924461957909759
0.075,0.15,0.6085898622124343,0.7670063139110009,0.9555837563451777,-0.08545660723780249,344.06911596162723,1.0625402986400054,0.4848390117077365
0.075,0.2,0.6388224071367409,0.7689976814082681,0.9606598984771574,-0.2250601157541074,246.1441715281559,1.6932657497385193,0.3712964456244568
0.075,0.3,0.6757789143931051,0.7911805358738085,0.8946700507614214,-0.1355173869000073,189.44767659058206,1.2459548817817279,0.4452449192597737
0.075,0.5,0.6132253981977214,0.758611810717073,0.9961928934010152,-0.014344257630366142,349.25005637761507,1.160931280940023,0.46276344316002116
0.075,0.75,0.6803323851142189,0.7961063755296086,0.8274111675126904,-0.1671909567266259,195.82669590253218,1.8694975716946922,0.34849306368620186
0.075,1.0,0.6905149235292156,0.7559367265909017,0.9555837563451777,-0.10843300794787059,220.8999572140591,1.2072255778104326,0.4530574536889881
0.1,0.001,0.4987394965660574,0.7534102066192796,0.9530456852791879,0.1810848262821093,593.7815527156233,1.284199096443662,0.43779020907456356
