algorithm,dataset,damping,affinity,preference,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score,priority_score,n_clusters,linkage,levels,threshold,branching_factor,maximum_clusters,amount_intervals,density_threshold,number_cluster,number_represent_points,compression,eps,min_samples,dip_threshold,significance,split_viewers_threshold,pval_strategy,n_boots,use_principal_components,use_log,n_clusters_init,n_split_trials,min_cluster_size,metric,leaf_size,init,max_iter,n_init,k,var,bandwidth,bin_seeding,xi,n_projections,n_samples,amount_clusters,epouch,similarity_matrix,n_neighbors,random_state,rows,cols,radius,threshold1,threshold2
affinity,2d10c,0.7,euclidean,,0.955561036167932,0.97329263222909,0.9983277591973244,0.770433120613218,47468.9190073007,0.4124225653948637,0.708003415196383,0.9260555726764614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,2d20c,0.9,euclidean,,0.9784021212889537,0.9813506226188886,0.988134475939354,0.6587588069897092,5972.862217561858,0.4823312944462684,0.6746130259454278,0.9197441379090624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,2d4c,0.9,euclidean,,0.2320787328097848,0.5595075318389485,0.9976825028968712,0.3307343737258214,1496.3475935536,0.9397698397310604,0.515525079067445,0.5216251800557824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,3spiral,0.7,euclidean,,0.1451283921230463,0.4117211937992415,0.8910256410256411,0.3958557039791939,255.46482687146383,0.8108515683096519,0.5522263765292784,0.4509656479300977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,aggregation,0.9,euclidean,,0.4136328500283689,0.7575009511782723,0.9949238578680204,0.4331482267800128,1632.348321116696,0.7615090908645804,0.5676950548743305,0.6509168543142287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,compound,0.7,euclidean,,0.3826333291146895,0.653221506369453,0.9172932330827068,0.3886496389443938,629.417645155868,0.8847689461786801,0.530569013261532,0.5941679511504291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,D1,0.9,euclidean,-50.0,0.5705711831835333,0.7332037453413733,0.667,0.5738773808716731,1451.1449145639515,0.6201043422196986,0.6172441946732294,0.6752874439613086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,D2,0.9,euclidean,-50.0,0.5128341629807744,0.5926987741251913,0.657,0.6312840912521727,2634.410012366924,0.5051187674003802,0.6643993960205452,0.6230211746398334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,D3,0.9,euclidean,-50.0,0.4489574353400429,0.5206301892163459,0.667,0.6218890101330066,2592.7305155490503,0.5393792554216231,0.6496124957368665,0.5847264379539039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,D4,0.9,euclidean,-50.0,0.4811166159116251,0.3822856747739893,0.847,0.5005194666019809,1416.3345774473544,0.8040847129930507,0.5542976961103777,0.5373550542113252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,D5,0.9,euclidean,,0.0786175326918575,0.3485917353287275,1.0,0.4655943823513847,1898.4540392595784,0.5908660479714933,0.628588435384045,0.43719086689813225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,ecoli,0.7,euclidean,,0.2286404611454085,0.5116632091916279,0.8839285714285714,0.1802365521443153,98.80586521490484,1.2686341809000514,0.4407938522742626,0.4725869986858259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,elly2d10c13s,0.9,euclidean,,0.1808182058076958,0.5049721583329956,0.7278254649499285,0.3499809333619495,2917.607392329522,0.832413344805139,0.5457283984724206,0.46809058892063726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,glass,0.7,euclidean,,0.129629339553016,0.3034354122868809,0.6261682242990654,0.3005583574450301,76.16931558257373,0.7743878654767854,0.5635746385874296,0.37894954758512156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,ionosphere,0.5,euclidean,-50.0,0.2583292066950579,0.2541995046983203,0.8176638176638177,0.2969307939659739,79.5849619109137,1.7153423400370669,0.3682776883250563,0.3945689652620132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,s1,0.9,euclidean,,0.8442624391704551,0.931059742174555,0.996,0.4960370641417104,17710.102430611252,0.9146864006108189,0.5222787395789631,0.8340282347755704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,s2,0.9,euclidean,,0.6601062602648462,0.8428135498390821,0.957,0.3772864846634963,9564.657236723308,0.9874674012286292,0.5031529067504763,0.7346198821725758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,sonar,0.7,euclidean,,0.0384121324616305,0.1272923149402718,0.7644230769230769,0.1324128453281286,14.868091856478516,1.668501278235451,0.3747421851194507,0.2541563945634221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,statlog,0.7,euclidean,-200.0,0.4637187169988759,0.6436227812012149,0.5558441558441558,0.3751936608269694,1813.504172127178,1.0433281213944785,0.4893976594016362,0.5742418575865735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,unbalance,0.9,euclidean,,0.2475660112814825,0.6256054856988233,0.9998461538461538,0.336626647690154,71898.30104688741,0.8802771233639249,0.5318364977024993,0.5487823790179724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,wdbc,0.9,euclidean,-50.0,0.7178214970742315,0.6169658950619306,0.9244288224956064,0.3868188556699642,361.17920738774666,1.1358548045754993,0.4681966198534501,0.6783806474427507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,wine,0.5,euclidean,-50.0,0.3778763273384934,0.477533478449465,0.601123595505618,0.2778124943428492,79.60362440428783,1.427930792185828,0.4118733545529589,0.48570388617653015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,yeast,0.9,euclidean,,0.0341639163115369,0.2076675797874169,0.6004043126684636,0.1357384074553223,103.35167732701215,1.327958074876932,0.4295610006004361,0.2678191579770581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agglomerative,2d10c,,,,1.0,1.0,1.0,0.8365214789556376,47576.83587010318,0.2287864004404718,0.8138110900654004,0.9650332569021037,9.0,ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agglomerative,2d20c,,,,0.9931597656394948,0.9928908576375384,0.995385629531971,0.6548815260374526,5824.390926514844,0.4840384770610502,0.6738369762355306,0.9282256001636053,20.0,ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agglomerative,2d4c,,,,0.6795624404267762,0.784823658344008,0.8980301274623407,0.5230803101746525,999.18492468862,0.6545291293874503,0.6044015679374748,0.7418670301886819,4.0,ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agglomerative,3spiral,,,,0.0100452505976779,0.0106318222554248,0.4006410256410256,0.3434115070856264,218.1196690310623,0.9085202473759224,0.5239661467437549,0.2330049898029715,3.0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
