,acedec,aec,affinity,agglomerative,amddbscan,autoclustering,bang,birch,bsas,clique,cure,dbscan,dcn,ddc,dec,deepect,diana,dipInit,dipMeans,dipNSub,dipdeck,dipencoder,dkm,drc,gapStatistic,gmeans,hdbscan,idec,isbm,kmeans,ldakmeans,mbsas,mdbscan,mddbscan,meanshift,n2d,optics,pgmeans,projectedDipMeans,rock,skinnydip,somsc,specialK,spectral,subkmeans,syncsom,ttsas,vade,xmeans
acedec,1.0,0.6022979718810866,0.41496687754159645,0.010495584322044893,0.18656646278404687,0.48934011605269556,0.39460274652280347,0.0025860568682223306,0.33206343176626163,0.08299684268191188,0.008377850091538352,0.5460769858522516,0.027590441664248955,0.02383276968565662,0.0390407162698061,0.07939729508770044,0.12291360326829381,0.9301074154477589,0.012888778136861623,0.15001716508372498,0.06778621310920152,0.1400549047730817,0.07764570803744286,0.609505131537768,0.10411802984788898,0.1414460876151753,0.22533729402485858,0.023514285141355673,0.9958834176841942,0.2194711061097021,0.1683397591196476,0.5256857887301318,0.14568337426187794,0.3372327907074635,0.0032730833172742724,0.08961340575447108,0.03573999356024893,0.7568928234566843,0.027956110474250728,0.11320876943564628,0.6911659230946596,0.2673138753985773,0.12042850888279166,0.001091182341393715,0.3720847528008999,0.12800378316714145,0.5123113129705565,0.005960311399174856,0.6684839116062078
aec,0.6022979718810866,1.0,0.7686926155547773,0.04155388201881127,0.06548925893710944,0.8648056734006182,0.1699393467706276,0.012703062994333436,0.135944487953493,0.02415498925123538,0.03440000710570068,0.9342091217624053,0.09257614141825043,0.08208478689244103,0.12291360326829359,0.022888381665568946,0.0390407162698061,0.5426514073462736,0.0493299229364641,0.049929250662051894,0.19178165775668643,0.33983676407566854,0.2137153571584176,0.9917669449474065,0.2695453143517499,0.34245359251361274,0.48934011605269556,0.08118087629212556,0.6058967554764552,0.47966781725362995,0.39174374574594073,0.24780217389139914,0.3503811392612881,0.6609887457929877,0.015530939519615483,0.2394583328098916,0.11438779567787938,0.8324697133387422,0.0935810199760212,0.28785673751535934,0.901453481580601,0.10302365695081228,0.3021289262411395,0.006054825559487664,0.710282770248523,0.316864336533055,0.8932885202234329,0.025823349071068202,0.34245359251361274
affinity,0.41496687754159645,0.7686926155547773,1.0,0.08118087629212556,0.03268031097509527,0.901453481580601,0.09561701929916588,0.027956110474250728,0.0742369537066232,0.010811271687297896,0.06856643554896458,0.8324697133387422,0.165174531131705,0.14856177489186861,0.21182119173171188,0.01018812394646118,0.01838146902463178,0.3665822094105118,0.09459462972036836,0.02415498925123538,0.3119010174389465,0.5089956362524748,0.34245359251361274,0.7608199466691445,0.41792591579288185,0.5123113129705565,0.6911659230946596,0.1471171919791916,0.4179259157928823,0.6797886913817313,0.5738612884933789,0.14711719197919182,0.5223255076619273,0.8851348529349157,0.033530729402667214,0.3776382098804447,0.1989009724500681,0.6131230293263685,0.16675149999066252,0.4420419371160542,0.6760122701282101,0.05429771994706578,0.46064006557695847,0.014257397338006905,0.9383125754009132,0.47966781725362995,0.8729273895621517,0.05301820207351615,0.2137153571584176
agglomerative,0.010495584322044893,0.04155388201881127,0.08118087629212556,1.0,0.00010451485822704498,0.061803826026890274,0.0006487736362377206,0.6498096484686382,0.0004170932639204761,1.7658059313196972e-05,0.9383125754009132,0.05053467154940372,0.7218419389851214,0.7647532424227965,0.620387103663439,1.608697479182908e-05,4.1009389555535236e-05,0.008126485076646706,0.9424176678315621,6.373707103057846e-05,0.46378174558170393,0.2785986718379625,0.4268772738880866,0.04053264004524393,0.3503811392612881,0.2763161679438819,0.17810852810223476,0.7686926155547773,0.010652388102464494,0.18314835281004838,0.2374036936379209,0.001404791766874025,0.2695453143517499,0.10972907698336742,0.70261332831145,0.38889735045406626,0.6461005747770359,0.024480978962752697,0.7179816667337762,0.3294980557099727,0.03063467803975506,0.00024414097041880467,0.3143762361503535,0.47966781725363017,0.09561701929916588,0.29971808519393606,0.05693411594662168,0.8486058463463084,0.0028146355336244877
amddbscan,0.18656646278404687,0.06548925893710944,0.03268031097509527,0.00010451485822704498,1.0,0.04420270001377613,0.6387088353685813,1.4649692211987642e-05,0.7257093080321653,0.6797886913817313,7.581599278183582e-05,0.05429771994706578,0.00042529943474733933,0.0003427808807034971,0.0007129184621625928,0.6647321388663952,0.824427595895348,0.2175402872005585,0.0001403035378810813,0.9055399305146108,0.001648251632690112,0.005167677719110753,0.0020333501167471013,0.06701330835010011,0.00321898033411383,0.005250782203704452,0.01130063525332603,0.000336073967236894,0.1848515618638933,0.010811271687297896,0.00696814318837613,0.4925873996847838,0.0055073893429378185,0.022580893533384883,2.0291472469624594e-05,0.0025424300345591178,0.0006246523731676668,0.10302365695081228,0.0004336561662519056,0.0036755986665772955,0.08578237018737633,0.8324697133387422,0.004055884356039208,4.50304856158823e-06,0.026871465304772135,0.00447154847470399,0.04814936498667577,4.685967955975201e-05,0.3720847528008999
autoclustering,0.48934011605269556,0.8648056734006182,0.901453481580601,0.061803826026890274,0.04420270001377613,1.0,0.12291360326829359,0.02024763117734585,0.09664823731222838,0.01531196964982251,0.05176397561442814,0.9301074154477589,0.13060959921932325,0.11677482406886286,0.1699393467706276,0.014463034368847438,0.02548192335348598,0.43593939448719365,0.07257900615022339,0.03310318288745684,0.2563474083717905,0.4329064304331549,0.2832020750285218,0.8566982134393217,0.3503811392612881,0.4359393944871941,0.6022979718810866,0.1155764648996902,0.49258739968478427,0.5915598727841798,0.49258739968478427,0.18485156186389373,0.4451114505392677,0.788477278620308,0.024480978962752697,0.3143762361503535,0.15897878202458138,0.70261332831145,0.13192784716175043,0.3720847528008999,0.7686926155547773,0.07176146936233918,0.38889735045406626,0.0100374217222845,0.8405294040211775,0.40616438071332617,0.9711900591118687,0.039532756101881006,0.2628891866705232
bang,0.39460274652280347,0.1699393467706276,0.09561701929916588,0.0006487736362377206,0.6387088353685813,0.12291360326829359,1.0,0.00011136904078523635,0.9055399305146108,0.3776382098804447,0.00048710304083887657,0.14568337426187794,0.0022554044876772483,0.0018638271546282947,0.003556230806947225,0.3665822094105122,0.489340116052696,0.4451114505392677,0.000843449682761177,0.5564175996007488,0.0074123975308666434,0.019971303697196907,0.008901539588488161,0.17317265897894218,0.01326742882532339,0.02024763117734585,0.0390407162698061,0.001831521342084308,0.39174374574594073,0.03759569529445206,0.025823349071068202,0.8284464068254638,0.021096723860098976,0.07014902679967427,0.00014934602510807693,0.010811271687297896,0.003165693477158227,0.24569738048365553,0.002294503900035716,0.01488216918572216,0.21182119173171188,0.7964303032729554,0.016204468783665105,3.83509611876498e-05,0.08118087629212578,0.017628930617224814,0.13192784716175043,0.0003166825719906896,0.6722439826787601
birch,0.0025860568682223306,0.012703062994333436,0.027956110474250728,0.6498096484686382,1.4649692211987642e-05,0.02024763117734585,0.00011136904078523635,1.0,6.803587896420105e-05,2.068213299732946e-06,0.7064443234513935,0.015977160399810453,0.4179259157928823,0.4512867928813491,0.34245359251361274,1.8672991950463569e-06,5.220032164743316e-06,0.0019300145658165402,0.5987088507922678,8.485379707101615e-06,0.2353615410718306,0.12417108053851145,0.21182119173171188,0.012338724648983668,0.16517453113170522,0.12291360326829359,0.0717614693623394,0.45439255197267703,0.0026303672089176278,0.0742369537066232,0.10193845097478671,0.0002646072367471497,0.11920079944009276,0.040030049786931254,0.9424176678315628,0.18829308986842452,0.36113069342515214,0.006860884398960598,0.41496687754159645,0.15296053432158074,0.008901539588488161,3.750177422690015e-05,0.14426027939874442,0.8004148145368957,0.0339629906891008,0.135944487953493,0.01838146902463178,0.7924510917232834,0.0005788928950734018
bsas,0.33206343176626163,0.135944487953493,0.0742369537066232,0.0004170932639204761,0.7257093080321653,0.09664823731222838,0.9055399305146108,6.803587896420105e-05,1.0,0.44511145053926704,0.00031045505604354595,0.1155764648996902,0.0015085842792093018,0.001238853081600988,0.0024155571227912898,0.4329064304331556,0.5668527803072803,0.37763820988044494,0.000546642995779445,0.6387088353685813,0.005167677719110753,0.014463034368847216,0.0062479144589215885,0.13867427295236623,0.009454275901663145,0.014671282471320435,0.02907828881388963,0.001216683583339373,0.3294980557099727,0.027956110474250728,0.018898648730049317,0.7373530923948668,0.01531196964982251,0.05365477644061012,9.198314223168857e-05,0.0076439144797355585,0.0021417400933401165,0.20071060942859353,0.0015356136635507056,0.010652388102464494,0.1715503008631507,0.8892102215269182,0.0116377090625579,2.276763469000187e-05,0.06252685399512337,0.012703062994333436,0.1041180298478892,0.0001992836348283511,0.5880001524227834
clique,0.08299684268191188,0.02415498925123538,0.010811271687297896,1.7658059313196972e-05,0.6797886913817313,0.01531196964982251,0.3776382098804447,2.068213299732946e-06,0.44511145053926704,1.0,1.2424285695589177e-05,0.019428509245939862,8.263820256204646e-05,6.514059992968058e-05,0.00014627259408506177,0.9835347664744447,0.8486058463463078,0.0997953471434696,2.4388647438033928e-05,0.7686926155547773,0.0003708807011566506,0.001331313146265778,0.00046863999240809306,0.02481077415395827,0.0007829152978762188,0.0013554024896409445,0.00321898033411383,6.373707103057846e-05,0.08208478689244103,0.0030615246083942615,0.0018638271546282947,0.27178950103124055,0.001430103838669039,0.007076905665194255,2.9479887790895276e-06,0.0006013676659979428,0.00012636901843077197,0.04104056976863113,8.44322473834147e-05,0.0009083011778203698,0.03310318288745684,0.5324393574805164,0.001014286044830559,5.74933335162342e-07,0.008636147289720508,0.0011316203685016735,0.01690353435468972,7.342408311350468e-06,0.19178165775668643
cure,0.008377850091538352,0.03440000710570068,0.06856643554896458,0.9383125754009132,7.581599278183582e-05,0.05176397561442814,0.00048710304083887657,0.7064443234513935,0.00031045505604354595,1.2424285695589177e-05,1.0,0.04207262002575507,0.6647321388663947,0.7064443234513935,0.5668527803072796,1.1301541996688869e-05,2.926535333336311e-05,0.0064465291963227145,0.8810625207462659,4.583257318668821e-05,0.41792591579288185,0.24569738048365553,0.3832424549892943,0.033530729402667214,0.3119010174389465,0.24360515572059782,0.15444859620059992,0.710282770248523,0.008506122054056542,0.15897878202458138,0.20806932078640417,0.0010714683945274306,0.2374036936379209,0.0935810199760212,0.7608199466691441,0.3477257877238702,0.5915598727841798,0.019971303697196907,0.6609887457929877,0.29256272897137214,0.025144410367296866,0.0001798772540608784,0.2785986718379625,0.5290570899675531,0.08118087629212556,0.2650951708215148,0.047568044120468445,0.9096288821166241,0.0021790310829050696
dbscan,0.5460769858522516,0.9342091217624053,0.8324697133387422,0.05053467154940372,0.05429771994706578,0.9301074154477589,0.14568337426187794,0.015977160399810453,0.1155764648996902,0.019428509245939862,0.04207262002575507,1.0,0.10972907698336742,0.09768833230699814,0.14426027939874442,0.01838146902463178,0.03184843124488723,0.48934011605269556,0.059676154356993694,0.04104056976863113,0.22141419633977888,0.3832424549892943,0.24569738048365553,0.9260075648494723,0.3069892197685309,0.38606358050286493,0.5426514073462736,0.09664823731222838,0.5495132498037179,0.5324393574805164,0.43898457411031355,0.2156217131862439,0.39460274652280347,0.7218419389851214,0.019428509245939862,0.2740464481829259,0.13459524700517167,0.7686926155547773,0.11087945737224647,0.32694555376313383,0.8364974132481824,0.08672749572556615,0.34245359251361274,0.007762086185696182,0.7726379704313899,0.3584241029977502,0.9588522504512664,0.03184843124488723,0.3021289262411395
