,acedec,aec,affinity,agglomerative,amddbscan,autoclustering,bang,birch,bsas,clique,cure,dbscan,dcn,ddc,dec,deepect,diana,dipInit,dipMeans,dipNSub,dipdeck,dipencoder,dkm,drc,gapStatistic,gmeans,hdbscan,idec,isbm,kmeans,ldakmeans,mbsas,mdbscan,mddbscan,meanshift,n2d,optics,pgmeans,projectedDipMeans,rock,skinnydip,somsc,specialK,spectral,subkmeans,syncsom,ttsas,vade,xmeans
acedec,1.0,0.4669353234156306,6.236220023225769e-05,0.003861490663333411,0.05238795052876144,0.001963911399097462,0.15001716508372498,0.01180956766032848,0.1008623637789341,0.030239021016148726,0.0054206227297251,0.5668527803072803,0.009597157179032534,0.09664823731222838,0.01130063525332603,0.14568337426187794,0.045301430604247406,0.6022979718810866,3.7347590975400635e-07,0.784508962275309,0.0002699694518271123,0.08672749572556637,0.0062479144589215885,0.7218419389851214,6.3475458864648004e-06,0.0002983424772724508,0.8729273895621517,0.001331313146265778,0.3665822094105118,3.7856410954884012e-06,2.232360464482497e-06,0.6684839116062071,0.7451494334889421,0.1574576794795446,8.813132595575368e-05,0.3557303066906847,0.4359393944871941,0.06856643554896458,0.00011864569760655641,0.8164038677579457,0.31936531905131327,0.29256272897137214,0.05238795052876144,0.04155388201881127,1.0033926704400287e-05,0.22930978182325124,0.05429771994706578,0.30943867925295887,0.0717614693623394
aec,0.4669353234156306,1.0,0.0010520843608334829,0.03063467803975506,0.0076439144797355585,0.017876720394710555,0.030239021016148504,0.07340415138515244,0.017876720394710555,0.0037985985118096366,0.040030049786931254,0.19354366517540655,0.06252685399512337,0.3503811392612881,0.07095149242730558,0.4669353234156306,0.20253223239467033,0.8364974132481824,1.333537616532432e-05,0.31686433653305546,0.003556230806947225,0.3244059289220771,0.04474922102263679,0.2785986718379625,0.00015248018044777822,0.003861490663333411,0.5703519039635094,0.01307689144855706,0.8607501089944483,9.806016809688067e-05,6.236220023225769e-05,0.24780217389139825,0.29256272897137214,0.03226207368888612,0.001404791766874025,0.8445655827873273,0.9588522504512664,0.2740464481829259,0.0017997307906407745,0.620387103663439,0.788477278620308,0.7451494334889421,0.22533729402485858,0.19003147702305423,0.0002251668634263293,0.05365477644061012,0.008003352024395616,0.7726379704313899,0.2832020750285218
affinity,6.236220023225769e-05,0.0010520843608334829,1.0,0.2650951708215148,2.7879285546816845e-09,0.36385006634953054,5.234348621208085e-08,0.1373041486040929,1.6578072692396972e-08,6.801632590480722e-10,0.22141419633977866,4.730858662149728e-06,0.1574576794795446,0.019161978145850522,0.1414460876151753,0.010811271687297896,0.04530143060424763,0.0004965868765069992,0.28089397077141154,1.8931198165317298e-05,0.7179816667337771,0.02197667305625073,0.20436587192571865,1.302482047593756e-05,0.6095051315377682,0.6987898721416574,0.00012116927812577671,0.4268772738880866,0.0019300145658165402,0.5358325366152674,0.4669353234156304,9.339802315100343e-06,1.4997076083433925e-05,6.048433087713079e-08,0.9342091217624058,0.002068907806837217,0.0012613951002689028,0.02907828881388963,0.8769933310190194,0.0001622582330313982,0.0026303672089176278,0.003165693477158227,0.0390407162698061,0.0493299229364641,0.6797886913817313,1.931332189730739e-07,3.063789666413186e-09,0.0028146355336244877,0.027590441664248955
agglomerative,0.003861490663333411,0.03063467803975506,0.2650951708215148,1.0,1.3708782935495378e-06,0.8364974132481824,1.4997076083433925e-05,0.710282770248523,5.899829713218452e-06,4.276797402891219e-07,0.9137202290091768,0.0005362704474503044,0.7647532424227959,0.2194711061097021,0.7218419389851214,0.15148340437590768,0.37485512470249427,0.017876720394710555,0.028325949501012415,0.001563088452638528,0.45128679288134865,0.2394583328098916,0.8769933310190188,0.0011734399179597066,0.1041180298478892,0.4669353234156306,0.006346522635783947,0.749057472911524,0.046992635136377636,0.08299684268191188,0.06548925893710944,0.0009083011778203698,0.00130761937105639,1.685508061521901e-05,0.30212892624113996,0.0493299229364641,0.03484181920083618,0.2855229942673292,0.3372327907074635,0.007881892243785327,0.058291741800142516,0.0662476730203092,0.34245359251361274,0.394602746522803,0.12671612482548822,4.287782984158106e-05,1.481505506051306e-06,0.06108773182580651,0.2763161679438819
amddbscan,0.05238795052876144,0.0076439144797355585,2.7879285546816845e-09,1.3708782935495378e-06,1.0,4.7643332168334496e-07,0.6167503774093492,8.283748820669956e-06,0.7647532424227965,0.8204133823820061,2.3486659490590256e-06,0.1715503008631507,5.899829713218452e-06,0.0003166825719906896,7.705968153803866e-06,0.0006865842156060786,8.088022816843399e-05,0.013853847365466354,2.1882495815361835e-12,0.09561701929916588,2.371347229690457e-08,0.0002593449939829462,2.9479887790895276e-06,0.1132087694356465,1.0864731336823752e-10,2.749746030872302e-08,0.03573999356024893,2.617743180000076e-07,0.00447154847470399,5.28248556008748e-11,2.538991239475763e-11,0.1306095992193237,0.1063344685469827,0.5987088507922682,4.598905922748031e-09,0.004190370823813794,0.006547951271497654,0.00016910149580140477,7.087427977836569e-09,0.029847762841798353,0.003328013463973045,0.0027674949381502056,0.00010451485822704498,6.952877790511458e-05,2.0657298094306498e-10,0.4606400655769596,0.987650691359901,0.0031132118324466163,0.00018361038922343198
autoclustering,0.001963911399097462,0.017876720394710555,0.36385006634953054,0.8364974132481824,4.7643332168334496e-07,1.0,5.7574271810079125e-06,0.5633639803941461,2.176301884926346e-06,1.4204660270245029e-07,0.7529719674705855,0.00024414097041880467,0.6131230293263681,0.15148340437590768,0.5738612884933789,0.10086236377893387,0.2740464481829259,0.0100374217222845,0.04699263513637786,0.0007541841659528536,0.5844503676766621,0.1667514999906623,0.7179816667337762,0.0005572021972077845,0.1559476310141792,0.6022979718810866,0.003328013463973045,0.9096288821166247,0.028325949501012193,0.12671612482548822,0.10193845097478671,0.00042529943474733933,0.0006246523731676668,6.503878361874271e-06,0.4090860844038735,0.02984776284179813,0.020527288599724525,0.20253223239467033,0.45128679288134865,0.004190370823813794,0.03573999356024893,0.04104056976863113,0.2478021738913987,0.2902033131654078,0.1865664627840471,1.7252118861499355e-05,5.164725571660256e-07,0.03759569529445206,0.19531753197725488
bang,0.15001716508372498,0.030239021016148504,5.234348621208085e-08,1.4997076083433925e-05,0.6167503774093492,5.7574271810079125e-06,1.0,7.581599278183582e-05,0.8405294040211779,0.46693532341563104,2.4388647438033928e-05,0.3860635805028638,5.5898829913747505e-05,0.0019300145658165402,7.105263288598174e-05,0.0037985985118096366,0.0005788928950734018,0.04992925066205167,6.961986542819432e-11,0.24360515572059738,3.7347590975400635e-07,0.0016194007141825395,2.9936413247888538e-05,0.2785986718379623,2.6176227851948397e-09,4.276797402891219e-07,0.1097290769833672,3.341733530559665e-06,0.019161978145850522,1.3419896305322254e-09,6.801632590480722e-10,0.3119010174389465,0.26509517082151435,0.9794192798175552,8.294137754383257e-08,0.018127556301310577,0.026518083570819417,0.0011112312828069904,1.2340538591004702e-07,0.09459462972036836,0.01488216918572216,0.012703062994333214,0.0007264346966200375,0.0005062426580320079,4.743998083256429e-09,0.8123991531268748,0.6276883987640072,0.01405434404567485,0.0011948810297364165
birch,0.01180956766032848,0.07340415138515244,0.1373041486040929,0.710282770248523,8.283748820669956e-06,0.5633639803941461,7.581599278183582e-05,1.0,3.203844409971346e-05,2.803299279374727e-06,0.7924510917232834,0.001998353964543398,0.9424176678315628,0.39174374574594073,0.9876506913599004,0.28785673751535934,0.6058967554764547,0.04585937311702226,0.01034083724047119,0.005250782203704452,0.2606959084002778,0.42089734641585297,0.8284464068254644,0.004055884356039208,0.045859373117022484,0.2717895010312408,0.01838146902463178,0.489340116052696,0.10633446854698247,0.035288467711130034,0.026871465304772135,0.00321898033411383,0.00447154847470399,8.44322473834147e-05,0.160510978782471,0.11087945737224625,0.08208478689244103,0.4861043947960322,0.18314835281004838,0.022277002021686698,0.12800378316714145,0.14284786479653033,0.5633639803941461,0.6313528199483196,0.05760960410933569,0.0001992836348283511,8.902801447385755e-06,0.13325638154829256,0.47327801497265076
bsas,0.1008623637789341,0.017876720394710555,1.6578072692396972e-08,5.899829713218452e-06,0.7647532424227965,2.176301884926346e-06,0.8405294040211779,3.203844409971346e-05,1.0,0.5987088507922671,9.79725195726644e-06,0.2855229942673292,2.329622651675578e-05,0.0009599397342123783,2.9936413247888538e-05,0.001963911399097462,0.0002699694518271123,0.03063467803975528,1.7839951738096715e-11,0.1715503008631507,1.2693339401792514e-07,0.0007976588151414887,1.213401802613312e-05,0.1989009724500681,7.500331467014121e-10,1.4608867693333139e-07,0.0717614693623394,1.235672812516242e-06,0.010972258377120347,3.764215605883692e-10,1.8675994084560443e-10,0.22533729402485925,0.18829308986842452,0.8204133823820075,2.6696577393181542e-08,0.01034083724047119,0.015530939519615705,0.0005362704474503044,4.028566213953866e-08,0.061087731825806735,0.008377850091538352,0.007076905665194255,0.0003427808807034971,0.0002344738797341872,1.3857315295240369e-09,0.660988745792989,0.7765892109550234,0.007881892243785327,0.0005788928950734018
clique,0.030239021016148726,0.0037985985118096366,6.801632590480722e-10,4.276797402891219e-07,0.8204133823820061,1.4204660270245029e-07,0.46693532341563104,2.803299279374727e-06,0.5987088507922671,1.0,7.503439778400178e-07,0.11087945737224625,1.965291243299916e-06,0.00012904707930094794,2.5989706311513316e-06,0.00029245353128715124,3.0622081165443404e-05,0.0071871899742512735,4.2010839251815923e-13,0.058291741800142516,6.2668186195935505e-09,0.00010451485822704498,9.514444831992819e-07,0.07014902679967427,2.3664625814490137e-11,7.3083759044578755e-09,0.019971303697196907,7.61214968836299e-08,0.0021417400933401165,1.1231904295527784e-11,5.270006653290693e-12,0.08208478689244147,0.06548925893710944,0.4512867928813491,1.142695049693998e-09,0.001998353964543398,0.00321898033411383,6.657334614557087e-05,1.7894183912403605e-09,0.016434614394965408,0.001563088452638528,0.0012843152887827003,4.010439757373696e-05,2.611908390859341e-05,4.598521563536906e-11,0.33464167823343605,0.8083993392160813,0.0014558357561249569,7.260804439201962e-05
