,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
1,birch,spectral,xmeans,ldakmeans,ldakmeans,drc
2,meanshift,birch,rock,dipMeans,subkmeans,mddbscan
3,agglomerative,cure,meanshift,kmeans,kmeans,amddbscan
4,vade,meanshift,dbscan,gapStatistic,gapStatistic,hdbscan
5,spectral,agglomerative,spectral,subkmeans,affinity,bsas
6,cure,ddc,birch,affinity,dipMeans,dipNSub
7,ddc,vade,ttsas,meanshift,gmeans,syncsom
8,dcn,dcn,gmeans,gmeans,idec,mbsas
9,dec,dipMeans,mdbscan,dipdeck,meanshift,dipInit
10,gapStatistic,idec,agglomerative,idec,autoclustering,aec
11,idec,dec,n2d,autoclustering,dec,optics
12,dipdeck,optics,idec,agglomerative,dkm,dbscan
13,dipMeans,dipdeck,dcn,cure,dcn,n2d
14,optics,gapStatistic,dipencoder,dkm,agglomerative,skinnydip
15,dipencoder,dkm,dec,dcn,dipdeck,clique
16,dkm,n2d,gapStatistic,dec,birch,somsc
17,n2d,dipencoder,bang,birch,xmeans,deepect
18,rock,gmeans,cure,projectedDipMeans,projectedDipMeans,ddc
19,specialK,rock,dkm,diana,dipencoder,dipencoder
20,kmeans,specialK,dipMeans,spectral,somsc,mdbscan
21,gmeans,ldakmeans,ldakmeans,pgmeans,ddc,specialK
22,dbscan,syncsom,kmeans,dipencoder,spectral,ttsas
23,ldakmeans,hdbscan,optics,xmeans,n2d,dec
24,autoclustering,kmeans,mddbscan,ddc,diana,dcn
25,mdbscan,mddbscan,vade,specialK,dipInit,dkm
26,mddbscan,mdbscan,subkmeans,deepect,skinnydip,acedec
27,affinity,affinity,dipdeck,skinnydip,aec,diana
28,hdbscan,dbscan,affinity,somsc,specialK,vade
29,ttsas,autoclustering,hdbscan,n2d,cure,pgmeans
30,subkmeans,drc,specialK,optics,deepect,idec
31,syncsom,subkmeans,ddc,vade,pgmeans,spectral
32,aec,ttsas,syncsom,aec,vade,birch
33,drc,aec,aec,dipInit,isbm,gmeans
34,pgmeans,projectedDipMeans,dipInit,isbm,acedec,autoclustering
35,projectedDipMeans,skinnydip,acedec,hdbscan,mdbscan,xmeans
36,skinnydip,pgmeans,projectedDipMeans,rock,rock,agglomerative
37,acedec,acedec,drc,acedec,dbscan,isbm
38,isbm,dipInit,autoclustering,dipNSub,optics,affinity
39,mbsas,isbm,skinnydip,drc,mbsas,dipdeck
40,dipInit,xmeans,mbsas,dbscan,dipNSub,kmeans
41,bang,mbsas,isbm,mbsas,bsas,subkmeans
42,somsc,bang,bsas,mdbscan,ttsas,bang
43,bsas,bsas,pgmeans,bang,hdbscan,gapStatistic
44,diana,somsc,somsc,syncsom,syncsom,cure
45,dipNSub,dipNSub,diana,mddbscan,drc,ldakmeans
46,amddbscan,diana,amddbscan,bsas,mddbscan,rock
47,xmeans,amddbscan,clique,amddbscan,bang,dipMeans
48,clique,deepect,dipNSub,ttsas,amddbscan,meanshift
49,deepect,clique,deepect,clique,clique,projectedDipMeans
